query,response,category
"is weekend mere aas pas brunch specials","Did you mean: brunch specials near me this weekend?","intent_mapping"
"San Antonio se Galveston me kitni doori hai ?","Did you mean: How far is Galveston from San Antonio ??","intent_mapping"
"dopahar ke samay mausam kaisa rahega ?","Did you mean: What will be the weather at noon ??","intent_mapping"
"holiday happenings","Did you mean: holiday happenings?","intent_mapping"
"Is weekend ko shangai ka temperature C me","Did you mean: Temperature shanghai this weekend C?","intent_mapping"
"Friday 5 baje ke liye alarm create kare","Did you mean: Create an alarm for Fridays at 5 pm?","intent_mapping"
"5 minutes me timer ko phir se shuru karo","Did you mean: Restart the timer in 5 minutes?","intent_mapping"
"top 10 sabse ache rap songs bajao","Did you mean: Play the top 10 best rap songs?","intent_mapping"
"birthday party reminder ko hata do .","Did you mean: Delete the birthday party reminder .?","intent_mapping"
"Aaj baarish hone ka kya chance hai ?","Did you mean: What is the chance of rain today ??","intent_mapping"
"ek naya go to sleep alarm create kare","Did you mean: Create a new go to sleep alarm .?","intent_mapping"
"work ke naam se 5 baje ke liye ek alarm set karen","Did you mean: Set an alarm for 5 titled work?","intent_mapping"
"is weekend mousam kaisa rahega ?","Did you mean: What is the weather going to be this weekend ??","intent_mapping"
"3 din me mausam kaisa hone wala hai","Did you mean: what ' s the weather going to be like in 3 days?","intent_mapping"
"please christmas music bajao","Did you mean: please play christmas music?","intent_mapping"
"Use mujhse 5 baje milne ke liye kaho .","Did you mean: Tell him to meet me at 5 .?","intent_mapping"
"jab mai is weights se done hojaungi","Did you mean: when am i done with these weights?","intent_mapping"
"Pichla timer hatao aur ek naya wala add karo .","Did you mean: Delete previous timer and add new one .?","intent_mapping"
"Is weekend ko Verizon Theater me hone wale saare concerts list karo","Did you mean: List all concerts at Verizon Theater this weekend?","intent_mapping"
"amc universal mei friday night ko kaunse movies chalne wale hai","Did you mean: what movies are playing friday night at amc universal?","intent_mapping"
"Aane wale fall ke liye pehla frost kab predict kiya gaya tha","Did you mean: When is the first frost predicted for the coming fall?","intent_mapping"
"Monthly alarm set karo gym membership ke liye pay karne har mahine ki 3rd ko","Did you mean: SET MONTHLY ALARM TO PAY GYM MEMBERSHIP ON 3RD OF EVERY MONTH?","intent_mapping"
"Facebook par Nataly ko message bheje kehte huye ki she looks beautiful","Did you mean: Send a message in Facebook to Nataly saying she looks beautiful .?","intent_mapping"
"Wednesday ko 7 : 30 am aur 8 : 00 am ke liye alarms set karen","Did you mean: Set alarms for Wednesday at 7 . 30am and 8 . 00am?","intent_mapping"
"Mujhe koi b alarms dikhao jo fridays ko set kiye gaye ho","Did you mean: Show me any alarms that are set on Fridays .?","intent_mapping"
"agar mai train leta hoon toh kya mai doctor ke appointment ke liye time se pahuch jaunga ?","Did you mean: If I take the train will I make my doctors appointment on time ??","intent_mapping"
"Kya Turkey me heatwave chal rahi hai ?","Did you mean: Is Turkey having a heatwave ??","intent_mapping"
"har 30 minutes ke liye alarm set kare","Did you mean: Set alarm for every 30 minutes .?","intent_mapping"
"Aaj raat 5 pm ko mujhe groceries lene ke liye yaad dilaayen","Did you mean: remind me to pick up the groceries at 5 pm tonight?","intent_mapping"
"kya mai abhi kuch jazz music sun sakta hun","Did you mean: Can I hear some jazz music right now?","intent_mapping"
"mom ko kal subah 9 bajhe unke doctor ke appointment par jane ke liye yaad dilaye","Did you mean: Remind mom to go to her doctors appointment at 9 am tomorrow .?","intent_mapping"
"is tarah ke aur songs play karo","Did you mean: play more songs like this one?","intent_mapping"
"aaj hawayein kitni tezi se chal rahi hai ?","Did you mean: What speed are the winds going today ??","intent_mapping"
"lynette ko message bhejkar pucho ki what she bought gabby for the bridal shower","Did you mean: send message to lynette asking her what she bought gabby for the bridal shower?","intent_mapping"
"kya aap timer ko suspend karsakte hai","Did you mean: can you suspend the timer?","intent_mapping"
"mujhe Tuesday ke liye reminder set karne ki zarurat hai","Did you mean: I need to set a reminder or Tuesday?","intent_mapping"
"kal bayside mei kya mazedaar chizein hai karne ke liye","Did you mean: whats fun to do tomorrow in bayside?","intent_mapping"
"Do alarms banao Wednesday ko subha 8 baje aur dopahar 4 baje ke liye","Did you mean: Create two alarms for Wednesday at 8 in the morning and 4 in the afternoon?","intent_mapping"
"timer ko phirse shuru karo","Did you mean: Start the timer again .?","intent_mapping"
"Boston me abhi kuch chal raha hai","Did you mean: Anything going on in Boston now?","intent_mapping"
"Please mujhe monday ke liye weather bataye","Did you mean: Please give me the weather for Monday?","intent_mapping"
"aaj raat low kya hai","Did you mean: what is the low tonight?","intent_mapping"
"kya mujhe David ' s tak sabse tez pahuchhne ke liye freeway lena chahiye ?","Did you mean: Should I take the freeway to get to David ' s the quickest ??","intent_mapping"
"mere aas pas wine tasting","Did you mean: Wine tasting near me?","intent_mapping"
"Mai Linkin Park ka last album sunna chahta hu","Did you mean: I want to listen to Linkin Park ' s last album?","intent_mapping"
"ek get up alarm organize kare monday at 6 am","Did you mean: organize a get up alarm Monday at 6 am?","intent_mapping"
"Spotify ko bole to play Don ' t Stop Me Now","Did you mean: Tell Spotify to play Don ' t Stop Me Now?","intent_mapping"
"mera last time kya tha ?","Did you mean: What was my last time ??","intent_mapping"
"mujhe Bob se baat karne ki zarurat hai ; kya ap mujhe 5 : 00 bajhe yaad dila sakte hai ?","Did you mean: I need to talk to Bob later ; can you remind me at 5 : 00 ??","intent_mapping"
"Kya shehar ke liye traffic bhaari hai","Did you mean: is the traffic heavy to the city?","intent_mapping"
"Stacy ke sath Line par check kare","Did you mean: Check with Stacy on Line?","intent_mapping"
"is mahine koi fun new years parties hai","Did you mean: any fun new years parties this month?","intent_mapping"
"calls ko ignore kare jab timer on rahega","Did you mean: Ignore calls while timer is on?","intent_mapping"
"aj kitni garmi hai ?","Did you mean: How hot is it today ??","intent_mapping"
"mai kitne alarm set kar sakta hoon ?","Did you mean: How many alarms can I set ??","intent_mapping"
"taylor swift ke events","Did you mean: taylor swift events?","intent_mapping"
"Is shaam ke liye mausam kaisa hai ?","Did you mean: What ' s the weather for this evening ??","intent_mapping"
"Jesse ko ek message karo aur pucho ke what hotel they \ u 2019 re staying in Panama City Beach next month","Did you mean: Send a Message to Jesse and ask what hotel they \ u 2019 re staying in Panama City Beach next month?","intent_mapping"
"har Sunday 10 pm ko alarm lagaye","Did you mean: Make an alarm every Sunday at 10 pm .?","intent_mapping"
"5k ki daud me mujhe kitna samay lagega ye jaanne ke liye timer ka use karo","Did you mean: Using the timer to find out how long this 5K race will take me?","intent_mapping"
"Abhi 5 freeway par traffic kaisa hai","Did you mean: what is the traffic on the 5 freeway right now?","intent_mapping"
"forecast kya hai ?","Did you mean: What ' s the forecast ??","intent_mapping"
"Kya mujhe mere rainboots pehanna chahiye ?","Did you mean: Should I wear my rainboots ??","intent_mapping"
"kya wednesday ko baarish hone wali hai ?","Did you mean: Is it supposed to rain Wednesday ??","intent_mapping"
"kal beach par extra flip flops laane ke liye Carol ko message bhejo","Did you mean: Send a message to Carol to bring extra flip flops to the beach tomorrow .?","intent_mapping"
"ek wake up alarm set karo for the next 2 weeks for 8 am","Did you mean: Set a wake up alarm for the next 2 weeks for 8 am?","intent_mapping"
"dog ke liye mujhe mere saarey reminders dekhne do","Did you mean: Let me see all my reminders about the dog?","intent_mapping"
"is saturday the San Antonio Convention Center me kya horaha hai","Did you mean: What is happening at the San Antonio Convention Center this Saturday?","intent_mapping"
"Traffic kaisa dikh raha hai","Did you mean: Hows the traffic looking?","intent_mapping"
"kitna rainfall hai","Did you mean: How much rainfall?","intent_mapping"
"Emma ko yaad dilaye ki is hafte jab wo aaye toh meri book sath me laaye","Did you mean: Remind Emma to bring my book with her when she visits this week .?","intent_mapping"
"Meri Facebook feed par current traffic conditions ka stream karen .","Did you mean: stream current traffic conditions to my Facebook feed?","intent_mapping"
"Lyndsie se message me pucho ki why she ' s running so late .","Did you mean: Ask Lyndsie why she ' s running so late in a message .?","intent_mapping"
"is saal Aspen , Colorado mein snowing kab shuru hogi","Did you mean: When is it going to start snowing in Aspen , Colorado this year?","intent_mapping"
"mujhe meri meeting me 3 baje tak pohanchne ki zaroorat hai , kya mai kar paonga ?","Did you mean: I need to be at my meeting by 3 , will I make it ??","intent_mapping"
"i 5 par accident kaha hai","Did you mean: Where is the accident on i 5?","intent_mapping"
"6 pm ko mausam kaisa hone wala hai","Did you mean: How is the weather going to be like at 6 pm?","intent_mapping"
"10 PM ke liye alarm set karen .","Did you mean: Set alarm for 10 PM .?","intent_mapping"
"mere daily reminders ko cancel karo to feed Balto and Koda","Did you mean: Cancel my daily reminder to feed Balto and Koda .?","intent_mapping"
"Sunday ko Napa me events","Did you mean: Events in Napa on Sunday?","intent_mapping"
"next Friday Evening ko Atlanta me karne ke liye cheeze","Did you mean: Things to do in Atlanta next Friday Evening?","intent_mapping"
"10 minutes ke liye alarm create karo","Did you mean: Create alarm for 10 minutes?","intent_mapping"
"mujhe Aunt Beryl ke pas subah 10 baje se pehle pahunchna hai toh mujhe yaha se kitne baje niklane ki zarurat hai ?","Did you mean: I need to arrive at Aunt Beryl ' s no later than 10 am , so what time to I need to leave here ??","intent_mapping"
"tampa se New York ki doori kitni hai","Did you mean: what is the distance from tampa to New york?","intent_mapping"
"kya Veterans parade ke liye downtown roads blocked honge ?","Did you mean: Will the roads downtown be blocked off for the Veterans ' parade ??","intent_mapping"
"Mujhe Thursday ko yaad dilaayen ki vet appointment Friday 2 pm ko hai .","Did you mean: Remind me on Thursday that the vet appointment is Friday at 2 pm .?","intent_mapping"
"next weeks ke sabhi dinner reminders delete karo","Did you mean: Delete all diner reminders for next weeks?","intent_mapping"
"is mahiney ke liye mere sarey alarms display kare","Did you mean: display all my alarms for this month?","intent_mapping"
"mera alarm cancel karo","Did you mean: Cancel my alarm .?","intent_mapping"
"Alexa , kya aap Tim ko ek message send karsakte hai .","Did you mean: Alexa , could you send a message to Tim .?","intent_mapping"
"midday ko bahar kaisa dikh raha hai ?","Did you mean: How it ' s looking outside at midday ??","intent_mapping"
"45 minutes ke liye timer set karo","Did you mean: set timer for 45 minutes?","intent_mapping"
"Breaking Benjamin ka latest song bajayen","Did you mean: play the latest song by Breaking Benjamin?","intent_mapping"
"mai apna homework karna bhul gaya hun , mujhe aaj raat baad me isey karne ke liye yaad dilaye .","Did you mean: i forgot to do my homework , remind me to do it later tonight .?","intent_mapping"
"reminder ko badlein to visit our group president monthly","Did you mean: Change the reminder to visit our group president monthly .?","intent_mapping"
"Mere taxes reminder me ek note add karen : don ' t forget the W 2 .","Did you mean: Add a note to my taxes reminder : don ' t forget the W 2 .?","intent_mapping"
"kya is weekend ko garmi hogi ?","Did you mean: Will it be hot this weekend ??","intent_mapping"
"aaj mousam kaisa hai","Did you mean: what ' s the weather like today?","intent_mapping"
"antibiotics naam ka alarm create karo for Monday , Tuesday , Wednesday at 4 pm","Did you mean: Create alarm called ' antibiotics ' for Monday , Tuesday , Wednesday at 4 pm?","intent_mapping"
"Friday 2 PM ko Theresa ko shopping plans ke baare me yaad dilaayen .","Did you mean: Remind Theresa about shopping plans Friday at 2 PM .?","intent_mapping"
"Sarasota me Friday ko chalne wali movies","Did you mean: Movies playing in Sarasota on Friday?","intent_mapping"
"kya mujhe aj kaam par umbrella le jane ki zarurat hai ?","Did you mean: Do I need to take an umbrella to work today ??","intent_mapping"
"Kal ke liye mausam ki report kya thi","Did you mean: what was the weather report for tomorrow?","intent_mapping"
"kya abhi bhi school jaane wali sadko par bahut barf hai ?","Did you mean: Is there a lot of snow still on the roads going to school ??","intent_mapping"
"5 minute ke liye timer set kare","Did you mean: set a timer for 5 minutes?","intent_mapping"
"kya mujhe baad me apne saath shorts laana chahiye","Did you mean: should I bring shorts with me later?","intent_mapping"
"Agar mai work se subha 11 : 30 baje nikal jaon , to Dayton , Oho ko mai kya time par pahunchunga .","Did you mean: If I leave work at 1130 am , what time will I get to Dayton , Oho .?","intent_mapping"
"kal 4 aur 5 bajhe mere liye alarm lagaye","Did you mean: Set me alarms for tomorrow at 4 and 5?","intent_mapping"
"London me 7th December ke liye mausam","Did you mean: Weather for the 7th of December in London .?","intent_mapping"
"traffic se bachne ke liye aj subah work ke liye sabse acha rasta kaunsa hai","Did you mean: What is the best route to work this morning to avoid traffic?","intent_mapping"
"Fridays ko subah 10 baje bajne ke liye alarm set kare","Did you mean: Set an alarm to go off on Fridays at 10 am?","intent_mapping"
"Kya friday raat ko market place mall ke aas paas zyada traffic hogi ?","Did you mean: Is there a lot of traffic around market place mall on friday night ??","intent_mapping"
"kya aap is thursday sham 4 baje dentist ke pas jane ke liye mere liye ek reminder laga sakte hai ?","Did you mean: Can you make a reminder for me to go to the dentist this Thursday at 4 pm ??","intent_mapping"
"aj raat mere area mei kya christmas lighting events hai","Did you mean: what chrismtas lighting events are in my area tonight?","intent_mapping"
"Monday August 6th ko 6 pm ko school open house ke liye reminder set karen","Did you mean: Set up a reminder for the school open house on Monday August 6th at 6 pm?","intent_mapping"
"Thom ko text karo Can you please come over here ?","Did you mean: Text Thom Can you please come over here ??","intent_mapping"
"1 minute ke liye timer set karen","Did you mean: Set timer for 1 minute?","intent_mapping"
"kya Houston me dopaher 2 baje traffic hai","Did you mean: Is there traffic in Houston 2 pm?","intent_mapping"
"south of France mei weather","Did you mean: Weather in the south of France?","intent_mapping"
"12 / 15 / 2017 ka weather","Did you mean: weather on 12 / 15 / 2017?","intent_mapping"
"Miami se Key West ko jaane ke liye kitna samay lagega","Did you mean: How long will take to go from Miami to Key West?","intent_mapping"
"Comfort exit se the Spurs game tak feeder road par rehne me mujhe kitna samay lagega ?","Did you mean: How long will it take if I stay on the feeder road from the Comfort exit to the Spurs game ??","intent_mapping"
"station ko rokein","Did you mean: Pause station?","intent_mapping"
"Agar mai Santa Clarita se streets se jaaon to the Farmer ' s Market pahunchne me kitna samay lagega ?","Did you mean: How long will it take to get to the Farmer ' s Market if I go by streets from Santa Clarita ??","intent_mapping"
"Happy hours","Did you mean: Happy hours?","intent_mapping"
"90 ' s alternative ke liye playlist banaye","Did you mean: make a playlist for 90 ' s alternative?","intent_mapping"
"agar mai abhi nikalta hun toh mujhe yaha se Brighton tak drive karke jane me kitna samay lagega","Did you mean: If I leave right now how long will it take me to drive to Brighton from here?","intent_mapping"
"Aaj raat 8 : 00 baje ke liye ek reminder set kare to watch my favorite movie is airing on channel 32 .","Did you mean: Set a reminder for 8 : 00 pm tonight to watch my favorite movie is airing on channel 32 .?","intent_mapping"
"Katherine ko answer kare abhi","Did you mean: Answer Katherine now .?","intent_mapping"
"mai drakes ka naya album sunna chahta hoon","Did you mean: i want to hear drakes new album?","intent_mapping"
"kya aaj aandhi aayegi ?","Did you mean: Will there be a thunderstorm today ??","intent_mapping"
"meri dentist appointment ke baare me Thursday ko ek reminder set karen .","Did you mean: Set a reminder on Thursday about my dentist appointment .?","intent_mapping"
"mom ko message karo aur bolo I made the brownies","Did you mean: Message mom and say I made the brownies .?","intent_mapping"
"kal subha 6 baje ke liye alarm set karen","Did you mean: Set alarm for 6 am tomorrow?","intent_mapping"
"kya aaj ole girne wale hai ?","Did you mean: Is it going to hail today ??","intent_mapping"
"thursday subah 7 baje ke liye alarm set kare","Did you mean: Set alarm for 7 am Thursday?","intent_mapping"
"Boston mei Chocolate Tours","Did you mean: Chocolate Tours in Boston?","intent_mapping"
"LGA ki traffic update","Did you mean: LGA traffic update?","intent_mapping"
"Mujhe kaam ke baad thoda lettuce khareedne ke liye yaad dilaayen .","Did you mean: Remind me to buy some lettuce after work .?","intent_mapping"
"yaha se Temecula tak alternate routes","Did you mean: Alternate routes to Temecula from here?","intent_mapping"
"workout timer se 10 minutes remove kardo","Did you mean: Remove 10 minutes from the workout timer?","intent_mapping"
"france me mausam kaisa hai ?","Did you mean: how is the weather in france ??","intent_mapping"
"Meri untitled playlist me is song ko save karen .","Did you mean: Save this song to my untitled playlist .?","intent_mapping"
"school ke baad beti ko pick karne ke reminder ko cancel karen","Did you mean: cancel reminder to pick up daughter after school?","intent_mapping"
"60 minute baad alarm set kare","Did you mean: set alarm after 60 minutes?","intent_mapping"
"Mobile me Sundays ko Traffic conditions kya hai","Did you mean: What are the traffic conditions on Sundays in Mobile?","intent_mapping"
"mujhe masseuse ke sath one hour appt set karne ke liye yaad dilaye","Did you mean: remind me to set a one hour appt with a masseuse?","intent_mapping"
"Yaha se the Dali Museum kitni door hai","Did you mean: How long from here to the Dali Museum?","intent_mapping"
"Sunday ko Atlantic city tak train se kitna lamba safar hai","Did you mean: How long is the trip in train to Atlantic city on a Sunday?","intent_mapping"
"kya baahar garm hone wala hai ?","Did you mean: is it going to be hot out?","intent_mapping"
"mujhe mere wakeup alarm ko dusre time par badalne ki zaroorat hai .","Did you mean: I need to change my wakeup alarm to a different time .?","intent_mapping"
"Mum ko message karo Charlie ' s phone number puchne ke liye","Did you mean: message Mum asking for Charlie ' s phone number .?","intent_mapping"
"subah 6 baje ke liye alarm set karo","Did you mean: set an alarm for 6 am?","intent_mapping"
